rank,combo_idx,station_1,station_2,station_3,covered_zones,covered_demand_kwh_h,total_demand_kwh_h,coverage_pct
1,0,Z0,Z1,Z2,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
2,1,Z0,Z1,Z3,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
3,2,Z0,Z1,Z4,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
4,3,Z0,Z1,Z5,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
5,4,Z0,Z1,Z6,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
6,5,Z0,Z1,Z7,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
7,6,Z0,Z2,Z3,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
8,7,Z0,Z2,Z4,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
9,8,Z0,Z2,Z5,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
10,9,Z0,Z2,Z6,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
11,10,Z0,Z2,Z7,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
12,11,Z0,Z3,Z4,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
13,12,Z0,Z3,Z5,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
14,13,Z0,Z3,Z6,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
15,14,Z0,Z3,Z7,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
16,15,Z0,Z4,Z5,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
17,16,Z0,Z4,Z6,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
18,17,Z0,Z4,Z7,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
19,18,Z0,Z5,Z6,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
20,19,Z0,Z5,Z7,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
21,20,Z0,Z6,Z7,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
22,24,Z1,Z2,Z6,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
23,25,Z1,Z2,Z7,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
24,28,Z1,Z3,Z6,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
25,29,Z1,Z3,Z7,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
26,31,Z1,Z4,Z6,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
27,32,Z1,Z4,Z7,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
28,33,Z1,Z5,Z6,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
29,34,Z1,Z5,Z7,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
30,35,Z1,Z6,Z7,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,4998.65,4998.65,100.0
