rank,bits,int,k_selected,stations,energy,objective,penalty,feasible
1,00001101,13,3,Z0|Z2|Z3,-139.697448,49.697448,0.0,True
2,00000111,7,3,Z0|Z1|Z2,-139.504218,49.504218,0.0,True
3,00001011,11,3,Z0|Z1|Z3,-138.708278,48.708278,0.0,True
4,01000101,69,3,Z0|Z2|Z6,-136.655642,46.655642,0.0,True
5,00100101,37,3,Z0|Z2|Z5,-136.542168,46.542168,0.0,True
6,10000101,133,3,Z0|Z2|Z7,-136.385971,46.385971,0.0,True
7,00010101,21,3,Z0|Z2|Z4,-136.234206,46.234206,0.0,True
8,01001001,73,3,Z0|Z3|Z6,-135.859702,45.859702,0.0,True
9,00101001,41,3,Z0|Z3|Z5,-135.746228,45.746228,0.0,True
10,01000011,67,3,Z0|Z1|Z6,-135.666472,45.666472,0.0,True
11,10001001,137,3,Z0|Z3|Z7,-135.590031,45.590031,0.0,True
12,00100011,35,3,Z0|Z1|Z5,-135.552998,45.552998,0.0,True
13,00011001,25,3,Z0|Z3|Z4,-135.438266,45.438266,0.0,True
14,10000011,131,3,Z0|Z1|Z7,-135.396801,45.396801,0.0,True
15,00010011,19,3,Z0|Z1|Z4,-135.245036,45.245036,0.0,True
16,00001111,15,4,Z0|Z1|Z2|Z3,-134.982186,54.982186,10.0,False
17,01100001,97,3,Z0|Z5|Z6,-132.704422,42.704422,0.0,True
18,11000001,193,3,Z0|Z6|Z7,-132.548225,42.548225,0.0,True
19,10100001,161,3,Z0|Z5|Z7,-132.434751,42.434751,0.0,True
20,01010001,81,3,Z0|Z4|Z6,-132.39646,42.39646,0.0,True
21,00110001,49,3,Z0|Z4|Z5,-132.282985,42.282985,0.0,True
22,01001101,77,4,Z0|Z2|Z3|Z6,-132.13361,52.13361,10.0,False
23,10010001,145,3,Z0|Z4|Z7,-132.126788,42.126788,0.0,True
24,00101101,45,4,Z0|Z2|Z3|Z5,-132.020136,52.020136,10.0,False
25,01000111,71,4,Z0|Z1|Z2|Z6,-131.94038,51.94038,10.0,False
26,10001101,141,4,Z0|Z2|Z3|Z7,-131.863939,51.863939,10.0,False
27,00100111,39,4,Z0|Z1|Z2|Z5,-131.826906,51.826906,10.0,False
28,00011101,29,4,Z0|Z2|Z3|Z4,-131.712174,51.712174,10.0,False
29,10000111,135,4,Z0|Z1|Z2|Z7,-131.670709,51.670709,10.0,False
30,00010111,23,4,Z0|Z1|Z2|Z4,-131.518944,51.518944,10.0,False
31,01001011,75,4,Z0|Z1|Z3|Z6,-131.14444,51.14444,10.0,False
32,00101011,43,4,Z0|Z1|Z3|Z5,-131.030966,51.030966,10.0,False
33,10001011,139,4,Z0|Z1|Z3|Z7,-130.874769,50.874769,10.0,False
34,00011011,27,4,Z0|Z1|Z3|Z4,-130.723004,50.723004,10.0,False
35,01100101,101,4,Z0|Z2|Z5|Z6,-128.97833,48.97833,10.0,False
36,11000101,197,4,Z0|Z2|Z6|Z7,-128.822133,48.822133,10.0,False
37,10100101,165,4,Z0|Z2|Z5|Z7,-128.708659,48.708659,10.0,False
38,01010101,85,4,Z0|Z2|Z4|Z6,-128.670368,48.670368,10.0,False
39,00110101,53,4,Z0|Z2|Z4|Z5,-128.556894,48.556894,10.0,False
40,10010101,149,4,Z0|Z2|Z4|Z7,-128.400697,48.400697,10.0,False
41,01101001,105,4,Z0|Z3|Z5|Z6,-128.18239,48.18239,10.0,False
42,11001001,201,4,Z0|Z3|Z6|Z7,-128.026193,48.026193,10.0,False
43,01100011,99,4,Z0|Z1|Z5|Z6,-127.98916,47.98916,10.0,False
44,10101001,169,4,Z0|Z3|Z5|Z7,-127.912719,47.912719,10.0,False
45,01011001,89,4,Z0|Z3|Z4|Z6,-127.874428,47.874428,10.0,False
46,11000011,195,4,Z0|Z1|Z6|Z7,-127.832963,47.832963,10.0,False
47,00111001,57,4,Z0|Z3|Z4|Z5,-127.760954,47.760954,10.0,False
48,10100011,163,4,Z0|Z1|Z5|Z7,-127.719489,47.719489,10.0,False
49,01010011,83,4,Z0|Z1|Z4|Z6,-127.681198,47.681198,10.0,False
50,10011001,153,4,Z0|Z3|Z4|Z7,-127.604757,47.604757,10.0,False
51,00110011,51,4,Z0|Z1|Z4|Z5,-127.567723,47.567723,10.0,False
52,10010011,147,4,Z0|Z1|Z4|Z7,-127.411526,47.411526,10.0,False
53,11100001,225,4,Z0|Z5|Z6|Z7,-124.870913,44.870913,10.0,False
54,01110001,113,4,Z0|Z4|Z5|Z6,-124.719147,44.719147,10.0,False
55,11010001,209,4,Z0|Z4|Z6|Z7,-124.56295,44.56295,10.0,False
56,10110001,177,4,Z0|Z4|Z5|Z7,-124.449476,44.449476,10.0,False
57,00000101,5,2,Z0|Z2,-124.21948,44.21948,10.0,False
58,00001001,9,2,Z0|Z3,-123.42354,43.42354,10.0,False
59,00000011,3,2,Z0|Z1,-123.23031,43.23031,10.0,False
60,01000001,65,2,Z0|Z6,-120.381734,40.381734,10.0,False
61,00100001,33,2,Z0|Z5,-120.26826,40.26826,10.0,False
62,10000001,129,2,Z0|Z7,-120.112063,40.112063,10.0,False
63,00010001,17,2,Z0|Z4,-119.960297,39.960297,10.0,False
64,01001111,79,5,Z0|Z1|Z2|Z3|Z6,-107.418348,57.418348,40.0,False
65,00101111,47,5,Z0|Z1|Z2|Z3|Z5,-107.304874,57.304874,40.0,False
66,10001111,143,5,Z0|Z1|Z2|Z3|Z7,-107.148677,57.148677,40.0,False
67,00001110,14,3,Z1|Z2|Z3,-107.036614,17.036614,0.0,True
68,00011111,31,5,Z0|Z1|Z2|Z3|Z4,-106.996912,56.996912,40.0,False
69,01101101,109,5,Z0|Z2|Z3|Z5|Z6,-104.456298,54.456298,40.0,False
70,11001101,205,5,Z0|Z2|Z3|Z6|Z7,-104.300101,54.300101,40.0,False
71,01100111,103,5,Z0|Z1|Z2|Z5|Z6,-104.263068,54.263068,40.0,False
72,01001100,76,3,Z2|Z3|Z6,-104.188038,14.188038,0.0,True
73,10101101,173,5,Z0|Z2|Z3|Z5|Z7,-104.186627,54.186627,40.0,False
74,01011101,93,5,Z0|Z2|Z3|Z4|Z6,-104.148336,54.148336,40.0,False
75,11000111,199,5,Z0|Z1|Z2|Z6|Z7,-104.106871,54.106871,40.0,False
76,00101100,44,3,Z2|Z3|Z5,-104.074564,14.074564,0.0,True
77,00111101,61,5,Z0|Z2|Z3|Z4|Z5,-104.034862,54.034862,40.0,False
78,01000110,70,3,Z1|Z2|Z6,-103.994808,13.994808,0.0,True
79,10100111,167,5,Z0|Z1|Z2|Z5|Z7,-103.993397,53.993397,40.0,False
80,01010111,87,5,Z0|Z1|Z2|Z4|Z6,-103.955106,53.955106,40.0,False
81,10001100,140,3,Z2|Z3|Z7,-103.918367,13.918367,0.0,True
82,00100110,38,3,Z1|Z2|Z5,-103.881334,13.881334,0.0,True
83,10011101,157,5,Z0|Z2|Z3|Z4|Z7,-103.878665,53.878665,40.0,False
84,00110111,55,5,Z0|Z1|Z2|Z4|Z5,-103.841632,53.841632,40.0,False
85,00011100,28,3,Z2|Z3|Z4,-103.766602,13.766602,0.0,True
86,10000110,134,3,Z1|Z2|Z7,-103.725137,13.725137,0.0,True
87,10010111,151,5,Z0|Z1|Z2|Z4|Z7,-103.685435,53.685435,40.0,False
88,00010110,22,3,Z1|Z2|Z4,-103.573372,13.573372,0.0,True
89,01101011,107,5,Z0|Z1|Z3|Z5|Z6,-103.467128,53.467128,40.0,False
90,11001011,203,5,Z0|Z1|Z3|Z6|Z7,-103.310931,53.310931,40.0,False
91,01001010,74,3,Z1|Z3|Z6,-103.198868,13.198868,0.0,True
92,10101011,171,5,Z0|Z1|Z3|Z5|Z7,-103.197457,53.197457,40.0,False
