rank,stations,qubo_energy,classical_objective
1,Z0+Z2+Z3,-139.697448,49.697448
2,Z0+Z1+Z2,-139.504218,49.504218
3,Z0+Z1+Z3,-138.708278,48.708278
4,Z0+Z2+Z6,-136.655642,46.655642
5,Z0+Z2+Z5,-136.542168,46.542168
6,Z0+Z2+Z7,-136.385971,46.385971
7,Z0+Z2+Z4,-136.234206,46.234206
8,Z0+Z3+Z6,-135.859702,45.859702
9,Z0+Z3+Z5,-135.746228,45.746228
10,Z0+Z1+Z6,-135.666472,45.666472
11,Z0+Z3+Z7,-135.590031,45.590031
12,Z0+Z1+Z5,-135.552998,45.552998
13,Z0+Z3+Z4,-135.438266,45.438266
14,Z0+Z1+Z7,-135.396801,45.396801
15,Z0+Z1+Z4,-135.245036,45.245036
16,Z0+Z5+Z6,-132.704422,42.704422
17,Z0+Z6+Z7,-132.548225,42.548225
18,Z0+Z5+Z7,-132.434751,42.434751
19,Z0+Z4+Z6,-132.39646,42.39646
20,Z0+Z4+Z5,-132.282985,42.282985
21,Z0+Z4+Z7,-132.126788,42.126788
22,Z1+Z2+Z3,-107.036614,17.036614
23,Z2+Z3+Z6,-104.188038,14.188038
24,Z2+Z3+Z5,-104.074564,14.074564
25,Z1+Z2+Z6,-103.994808,13.994808
26,Z2+Z3+Z7,-103.918367,13.918367
27,Z1+Z2+Z5,-103.881334,13.881334
28,Z2+Z3+Z4,-103.766602,13.766602
29,Z1+Z2+Z7,-103.725137,13.725137
30,Z1+Z2+Z4,-103.573372,13.573372
31,Z1+Z3+Z6,-103.198868,13.198868
32,Z1+Z3+Z5,-103.085394,13.085394
33,Z1+Z3+Z7,-102.929197,12.929197
34,Z1+Z3+Z4,-102.777432,12.777432
35,Z2+Z5+Z6,-101.032758,11.032758
36,Z2+Z6+Z7,-100.876561,10.876561
37,Z2+Z5+Z7,-100.763087,10.763087
38,Z2+Z4+Z6,-100.724796,10.724796
39,Z2+Z4+Z5,-100.611322,10.611322
40,Z2+Z4+Z7,-100.455125,10.455125
41,Z3+Z5+Z6,-100.236818,10.236818
42,Z3+Z6+Z7,-100.080621,10.080621
43,Z1+Z5+Z6,-100.043588,10.043588
44,Z3+Z5+Z7,-99.967147,9.967147
45,Z3+Z4+Z6,-99.928856,9.928856
46,Z1+Z6+Z7,-99.887391,9.887391
47,Z3+Z4+Z5,-99.815382,9.815382
48,Z1+Z5+Z7,-99.773917,9.773917
49,Z1+Z4+Z6,-99.735626,9.735626
50,Z3+Z4+Z7,-99.659185,9.659185
51,Z1+Z4+Z5,-99.622152,9.622152
52,Z1+Z4+Z7,-99.465955,9.465955
53,Z5+Z6+Z7,-96.925341,6.925341
54,Z4+Z5+Z6,-96.773576,6.773576
55,Z4+Z6+Z7,-96.617379,6.617379
56,Z4+Z5+Z7,-96.503905,6.503905
